-23.596, -45.78, 93.025
-23.443, -43.786, 90.598
-23.322, -41.791, 88.106
-23.303, -39.791, 85.539
-23.384, -37.794, 82.896
-23.562, -35.803, 80.165
-23.874, -33.828, 77.336
-24.386, -31.894, 74.399
-25.095, -30.026, 71.345
-26.046, -28.269, 68.154
-27.297, -26.715, 64.809
-28.841, -25.454, 63.743
-30.615, -24.544, 64.796
-32.553, -24.074, 70.549
-34.547, -23.993, 73.718
-36.527, -24.246, 75.799
-38.442, -24.814, 72.804
-40.273, -25.614, 69.68
-41.99, -26.636, 66.409
-43.56, -27.872, 62.968
-44.969, -29.289, 59.328
-46.119, -30.92, 55.453
-46.967, -32.726, 51.288
-47.292, -34.692, 46.761
-46.993, -36.652, 46.956
-46.075, -38.418, 54.534
-44.652, -39.813, 73.126
-42.983, -40.907, 80.378
-41.173, -41.75, 85.757
-39.284, -42.398, 89.599
-37.35, -42.901, 92.313
-35.39, -43.298, 92.313
-33.407, -43.557, 94.233
-31.418, -43.761, 95.606
-29.423, -43.898, 95.606
-27.424, -43.963, 96.6
-25.425, -43.999, 96.6
-23.425, -43.987, 96.897
-23.222, -42.022, 97.992
-23.063, -40.029, 98.098
-22.924, -38.033, 98.098
-22.82, -36.036, 98.208
-22.733, -34.038, 98.322
-22.665, -32.039, 98.322
-22.627, -30.04, 98.441
-22.605, -28.04, 98.566
-22.599, -26.04, 98.699
-22.616, -24.04, 98.699
-22.649, -22.04, 98.841
-22.696, -20.041, 98.994
-22.756, -18.042, 98.994
-22.832, -16.043, 99.16
-22.918, -14.045, 99.344
-23.013, -12.047, 99.548
-23.116, -10.05, 99.78
-23.224, -8.053, 99.543
-23.336, -6.056, 97.279
-23.448, -4.059, 94.961
-23.557, -2.062, 92.585
-23.659, -0.065, 90.146
-23.751, 1.933, 87.64
-23.826, 3.932, 85.06
-23.879, 5.931, 82.399
-23.898, 7.931, 79.649
-23.875, 9.931, 76.801
-23.794, 11.929, 73.844
-23.636, 13.922, 70.763
-23.368, 15.904, 67.542
-22.941, 17.856, 64.16
-22.302, 19.749, 60.593
-21.364, 21.511, 56.804
-20.03, 22.995, 53.355
-18.329, 24.033, 56.952
-16.409, 24.571, 69.733
-14.418, 24.716, 81.589
-12.426, 24.567, 83.464
-10.458, 24.217, 80.753
-8.535, 23.675, 77.948
-6.696, 22.896, 75.039
-4.996, 21.847, 73.844
-3.481, 20.548, 74.666
-2.207, 19.009, 76.491
-1.176, 17.299, 81.523
-0.379, 15.467, 84.151
0.229, 13.563, 88.789
0.659, 11.61, 90.689
0.966, 9.634, 92.31
1.171, 7.645, 93.679
1.293, 5.649, 94.831
1.344, 3.65, 96.617
1.342, 1.65, 97.308
1.298, -0.35, 97.898
1.222, -2.348, 98.404
1.12, -4.346, 98.843
0.998, -6.342, 99.226
0.86, -8.337, 99.226
0.712, -10.332, 99.565
0.558, -12.326, 99.868
0.402, -14.32, 99.858
0.246, -16.314, 99.609
0.093, -18.308, 99.378
-0.055, -20.302, 99.162
-0.194, -22.297, 99.162
-0.322, -24.293, 98.958
-0.438, -26.29, 98.763
-0.54, -28.287, 98.575
-0.628, -30.285, 98.393
-0.695, -32.284, 98.393
-0.74, -34.284, 98.215
-0.766, -36.283, 98.04
-0.771, -38.283, 97.867
-0.748, -40.283, 97.867
-0.695, -42.283, 97.696
-0.617, -44.281, 97.527
-0.515, -46.278, 95.757
0.828, -47.053, 93.937
2.824, -47.17, 92.346
4.824, -47.171, 89.901
6.822, -47.111, 87.389
8.816, -46.956, 84.801
10.791, -46.647, 82.133
12.739, -46.202, 79.376
14.638, -45.585, 76.522
16.455, -44.757, 73.559
18.137, -43.683, 70.472
19.618, -42.345, 67.242
20.754, -40.705, 64.03
21.527, -38.867, 64.914
21.858, -36.901, 69.359
21.795, -34.907, 71.771
21.36, -32.959, 75.266
20.619, -31.104, 73.891
19.6, -29.387, 70.817
18.332, -27.845, 67.602
16.831, -26.529, 64.229
15.117, -25.506, 60.668
13.22, -24.898, 56.892
11.233, -24.773, 54.971
9.297, -25.239, 58.327
7.544, -26.184, 70.508
6.057, -27.515, 69.664
4.806, -29.07, 66.396
3.764, -30.773, 62.957
2.895, -32.571, 59.317
2.16, -34.43, 55.437
1.532, -36.329, 51.261
1.039, -38.267, 46.713
0.607, -40.219, 41.674
0.238, -42.185, 35.932
-0.045, -44.164, 29.079
-0.306, -46.147, 20
-0.47, -47.774, 0
-0.47, -47.774, 0
-2.484, -67.672, 0
endData
111.4
100
200
-23.596, -45.78, -18.413, 2.863, -79.615, -45.182, -23.397, -43.986
-23.397, -43.986, -19.409, -3.716, -32.766, 28.38, -11.236, 24.393
-11.236, 24.393, 10.295, 20.406, -2.863, -11.491, -0.47, -46.977
-0.47, -46.977, 47.375, -51.163, 4.314, 5.654, -0.47, -47.774
